#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11710E+04    0.47575E-01    0.42804E-02    0.31685E+01    0.49276E-07    0.32462E-02   -0.14720E-04
     3    0.10847E+04    0.73098E-01    0.47690E-02    0.37325E+01    0.60012E-07    0.32394E-02   -0.17545E-04
     4    0.10164E+04    0.77923E-01    0.45306E-02    0.37304E+01    0.69180E-07    0.31601E-02   -0.17120E-04
     5    0.96573E+03    0.65576E-01    0.38558E-02    0.33883E+01    0.77136E-07    0.30533E-02   -0.14479E-04
     6    0.92995E+03    0.46047E-01    0.30268E-02    0.28995E+01    0.84079E-07    0.29379E-02   -0.10558E-04
     7    0.90584E+03    0.28168E-01    0.22479E-02    0.23862E+01    0.90192E-07    0.28239E-02   -0.62340E-05
     8    0.89014E+03    0.16192E-01    0.16271E-02    0.19201E+01    0.95603E-07    0.27118E-02   -0.22645E-05
     9    0.88088E+03    0.10119E-01    0.11971E-02    0.15354E+01    0.10042E-06    0.26007E-02    0.81199E-06
    10    0.87652E+03    0.78238E-02    0.94461E-03    0.12492E+01    0.10471E-06    0.24926E-02    0.27686E-05
    11    0.87550E+03    0.70764E-02    0.83518E-03    0.10625E+01    0.10857E-06    0.23928E-02    0.36427E-05
    12    0.87801E+03    0.66375E-02    0.83026E-03    0.96818E+00    0.11201E-06    0.23031E-02    0.35745E-05
    13    0.88238E+03    0.59944E-02    0.89662E-03    0.94249E+00    0.11509E-06    0.22216E-02    0.27734E-05
    14    0.88776E+03    0.55013E-02    0.10056E-02    0.95866E+00    0.11786E-06    0.21462E-02    0.14923E-05
    15    0.89449E+03    0.53049E-02    0.11412E-02    0.10015E+01    0.12034E-06    0.20741E-02    0.12845E-06
    16    0.90301E+03    0.54324E-02    0.12919E-02    0.10594E+01    0.12257E-06    0.20035E-02   -0.95687E-06
    17    0.91320E+03    0.58632E-02    0.14522E-02    0.11211E+01    0.12456E-06    0.19358E-02   -0.16613E-05
    18    0.92403E+03    0.63917E-02    0.16190E-02    0.11781E+01    0.12635E-06    0.18727E-02   -0.19737E-05
